ฤๅํü_๒ๅ์๏ๅ๐เ๒๓๐เ;ฤๅํü_ไเโ๋ๅํ่ๅ;ฤๅํü_โๅ๒ๅ๐;ยๅ๗ๅ๐_๒ๅ์๏ๅ๐เ๒๓๐เ;ยๅ๗ๅ๐_ไเโ๋ๅํ่ๅ;ยๅ๗ๅ๐_โๅ๒ๅ๐
24.0;751;ว 2์/๑;16.0;752.0;ว 2์/๑
21.0;755;ัว 2์/๑;12.0;755.0;ัว 2์/๑
24.0;752;Þว 1์/๑;20.0;751.0;Þว 1์/๑
30.0;749;Þว 3์/๑;25.0;750.0;Þว 3์/๑
21.0;754;ั 1์/๑;15.0;755.0;ั 1์/๑
18.0;756;ัย 2์/๑;13.0;758.0;ัย 2์/๑
12.0;761;ัย 3์/๑;9.0;762.0;ัย 3์/๑
16.0;764;ัย 2์/๑;8.0;763.0;ัย 2์/๑
12.0;763;ัย 2์/๑;6.0;764.0;ัย 2์/๑
8.0;762;ั 1์/๑;7.0;761.0;ั 1์/๑
8.0;759;ว 2์/๑;7.0;760.0;ว 2์/๑
9.0;762;ัย 2์/๑;6.0;764.0;ัย 2์/๑
9.0;764;ั 1์/๑;7.0;763.0;ั 1์/๑
8.0;757;ว 2์/๑;5.0;755.0;ว 2์/๑
7.0;752;Þ 1์/๑;6.0;752.0;Þ 1์/๑
7.0;755;ัย 3์/๑;6.0;755.0;ัย 3์/๑
7.0;756;ั 2์/๑;2.0;757.0;ั 2์/๑
8.0;757;ัว 2์/๑;7.0;757.0;ัว 2์/๑
4.0;758;ว 2์/๑;4.0;758.0;ว 2์/๑
12.0;754;Þ 1์/๑;9.0;752.0;Þ 1์/๑
12.0;749;Þย 2์/๑;13.0;749.0;Þย 2์/๑
11.0;752;Þย 2์/๑;10.0;752.0;Þย 2์/๑
15.0;755;Þย 1์/๑;10.0;755.0;Þย 1์/๑
17.0;755;ย 2์/๑;9.0;755.0;ย 2์/๑
17.0;752;Þย 2์/๑;11.0;752.0;Þย 2์/๑
